Doctor_ID,Name,Degree,Rating,Patients,City,Consult Fee,Experience,Speciality
AAA001,Dr. Jasmeet Singh,"MBBS, DNB - General Medicine",5,30,Mohali,500,22,"Internal Medicine, General Physician, Consultant Physician"
AAA002,Dr. Shikha Verma,"DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy, MBBS",4.95,515,Mohali,600,28,"Dermatologist, Venereologist, Aesthetic Dermatologist"
AAA003,Dr. R S Rai,"MBBS, MS - General Surgery, MCh - Urology",4.8,106,Mohali,1000,38,"Sexologist, Urologist"
AAA004,Dr. Anshu Syed,"MBBS, DNB - Obstetrics & Gynecology",4.9,54,Mohali,500,18,"Gynecologist, Obstetrician"
AAA005,Dr. Pooja Modgil,BAMS,4.9,127,Mohali,500,24,AYUSHAyurveda
AAA006,Dr. Akhil Gupta,"BDS, MDS - Conservative Dentistry & Endodontics",4.9,95,Mohali,300,13,"Endodontist, Cosmetic/Aesthetic Dentist"
AAA007,Dr. Saran Gill,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4.95,76,Mohali,300,16,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist"
AAA008,Dr. Sachin Goyal,"BDS, MDS - Periodontics",5,209,Mohali,300,19,"Periodontist, Cosmetic/Aesthetic Dentist, Implantologist, Dentist"
AAA009,Dr. Gaurav Malik,"BDS, MDS - Periodontology and Oral Implantology",4.95,221,Mohali,900,21,"Dentist, Periodontist, Implantologist, Cosmetic/Aesthetic Dentist"
AAA010,Dr. Simranjeet Kaur,MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy,5,12,Mohali,450,11,TherapistPhysiotherapist
AAA011,Dr. Ankur Vats,"MDS - Conservative Dentistry & Endodontics, BDS",4.95,157,Mohali,500,17,"Endodontist, Implantologist, Dentist"
AAA012,Dr. Sartaaj Singh Buttar,"MBBS, MS - ENT",4.7,77,Mohali,700,22,ENT/ Otorhinolaryngologist
AAA013,Dr. Vijaya Gupta,"MBBS, MS - Obstetrics & Gynaecology",4.65,236,Mohali,500,21,"Gynecologist, Obstetrician"
AAA014,Dr. Sudha Gupta,"BDS, MDS - Prosthodontics",5,24,Mohali,300,11,"Cosmetic/Aesthetic Dentist, Implantologist, Dental Surgeon"
AAA015,Dr. Chandandeep Singh Sandhu,MBBS,4.75,97,Mohali,1000,20,"General Physician, Sexologist"
AAA016,Dr. Garima Goyal,"BDS, MDS - Orthodontics",4.95,93,Mohali,300,19,"Orthodontist, Dentofacial Orthopedist, Dentist, Dental Surgeon"
AAA017,Dr. Kanwar Sidharth,"BDS, MDS - Conservative Dentistry & Endodontics",4.7,87,Mohali,300,18,"Endodontist, Dental Surgeon, Dentist"
AAA018,Dr. Karan Dhawan,"MBBS, M.D. (Psychiatry)",5,12,Mohali,1000,10,Psychiatrist
AAA019,Dr. Kamna Nagpal,"MBBS, DGO, MD - Obstetrics & Gynaecology",4.8,26,Mohali,900,29,"Obstetrician, Gynecologist"
AAA020,Dr. Bhupinder Pal,"BDS, MDS - Prosthodontist And Crown Bridge",5,27,Mohali,300,14,"Dental Surgeon, Implantologist, Prosthodontist"
AAA021,Dr. Rishi Dhawan,"MBBS, MS - General Surgery, MCh - Plastic Surgery",4.85,37,Mohali,1000,16,"Plastic Surgeon, Cosmetologist"
AAA022,Dr. Sannidhya Varma,"M.D. (Psychiatry), MBBS",4.85,418,Mohali,1200,18,"Psychiatrist, Addiction Psychiatrist"
AAA023,Dr. Harpreet Kaur Sidhu,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FNB - Reproductive Medicine, MRCOG(UK)",4.5,31,Mohali,700,19,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist"
AAA024,Dr. Akanksha Sharda,"MDS - Prosthodontist And Crown Bridge, BDS",4.95,67,Mohali,300,13,"Implantologist, Prosthodontist, Dentist"
AAA025,Dr. Amandeep Singh Sandhu,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",4.85,30,Mohali,1000,16,"Laparoscopic Surgeon, GastroIntestinal Surgeon"
AAA026,Dr. Timsi Gupta,"MDS - Conservative Dentistry & Endodontics, BDS",5,46,Mohali,300,11,"Endodontist, Dentist"
